frame_abs,frame_rel,time_s,mask_pixels,mask_ratio,temp_mean,temp_min,temp_max
1018,238,40.720,54315,2.83,94.96,14.25,273.05
1019,239,40.760,50614,2.64,96.69,14.25,259.45
1020,240,40.800,51477,2.68,94.88,14.55,262.25
1021,241,40.840,53276,2.77,98.44,14.55,263.55
1022,242,40.880,62275,3.24,90.79,13.65,260.75
1023,243,40.920,53127,2.77,106.92,14.95,257.75
1024,244,40.960,47153,2.46,96.82,14.25,259.65
1025,245,41.000,50386,2.62,80.15,14.25,265.65
1026,246,41.040,45123,2.35,79.65,13.25,264.35
1027,247,41.080,43583,2.27,79.86,11.75,263.65
1028,248,41.120,42500,2.21,79.64,13.25,263.15
1029,249,41.160,39744,2.07,75.48,14.25,261.15
1030,250,41.200,54229,2.82,93.83,17.55,273.95
1031,251,41.240,48224,2.51,73.61,16.75,269.65
1032,252,41.280,43182,2.25,77.53,16.35,269.05
1033,253,41.320,42953,2.24,88.60,17.55,265.25
1034,254,41.360,51030,2.66,100.48,14.95,268.95
1035,255,41.400,53034,2.76,107.05,14.55,273.55
1036,256,41.440,52697,2.74,112.89,14.25,274.45
1037,257,41.480,57743,3.01,109.88,14.25,274.65
1038,258,41.520,59038,3.07,110.15,14.25,274.45
1039,259,41.560,63374,3.30,103.13,14.25,273.75
1040,260,41.600,76357,3.98,88.29,14.25,278.05
1041,261,41.640,58375,3.04,79.78,14.25,279.45
1042,262,41.680,43915,2.29,75.46,14.25,279.75
1043,263,41.720,40263,2.10,71.83,14.25,280.05
1044,264,41.760,43258,2.25,92.38,14.25,280.75
1045,265,41.800,45187,2.35,87.95,14.55,280.75
1046,266,41.840,45904,2.39,90.59,17.55,281.55
1047,267,41.880,49089,2.56,91.76,18.55,281.65
1048,268,41.920,55922,2.91,101.92,18.85,282.25
1049,269,41.960,69699,3.63,103.29,17.55,281.65
1050,270,42.000,75900,3.95,102.61,17.55,282.05
1051,271,42.040,74672,3.89,102.13,17.55,284.35
1052,272,42.080,79900,4.16,105.83,14.25,285.75
1053,273,42.120,66509,3.46,96.17,13.25,280.85
1054,274,42.160,66103,3.44,97.13,13.65,287.85
1055,275,42.200,53005,2.76,103.38,13.25,286.85
1056,276,42.240,38914,2.03,92.73,14.25,276.75
1057,277,42.280,37796,1.97,74.80,14.95,263.25
1058,278,42.320,49881,2.60,78.69,16.75,284.25
1059,279,42.360,75400,3.93,60.84,15.45,280.15
1060,280,42.400,77459,4.03,41.06,15.45,266.85
1061,281,42.440,66860,3.48,27.93,16.35,233.85
1062,282,42.480,53951,2.81,25.79,15.95,229.55
1063,283,42.520,47320,2.46,20.75,13.65,28.15
1064,284,42.560,24905,1.30,20.77,12.75,26.25
1065,285,42.600,23670,1.23,21.34,11.05,34.45
1066,286,42.640,47463,2.47,20.22,11.05,34.45
1067,287,42.680,44770,2.33,21.30,12.35,55.35
1068,288,42.720,12793,0.67,27.22,14.95,121.75
1069,289,42.760,33319,1.74,22.69,14.95,117.75
1070,290,42.800,39486,2.06,24.75,15.45,187.55
1071,291,42.840,8122,0.42,21.31,14.55,69.05
1072,292,42.880,43814,2.28,21.18,14.25,73.45
1073,293,42.920,19993,1.04,22.98,14.55,42.65
1074,294,42.960,25118,1.31,24.28,17.55,63.15
1075,295,43.000,42226,2.20,22.51,14.95,59.05
1076,296,43.040,47689,2.48,23.05,15.45,71.05
1077,297,43.080,19157,1.00,20.94,16.75,29.25
1078,298,43.120,32292,1.68,21.19,16.35,31.85
1079,299,43.160,23123,1.20,20.57,15.95,32.75
1080,300,43.200,25507,1.33,20.66,14.95,48.55
1081,301,43.240,29787,1.55,21.82,13.25,83.35
1082,302,43.280,30936,1.61,27.58,12.35,156.05
1083,303,43.320,35469,1.85,30.93,12.35,162.85
1084,304,43.360,39923,2.08,30.01,12.75,160.45
1085,305,43.400,37061,1.93,29.19,11.45,157.85
1086,306,43.440,36625,1.91,27.02,11.75,216.65
1087,307,43.480,58939,3.07,22.39,11.75,248.35
1088,308,43.520,32384,1.69,18.67,11.45,54.55
1089,309,43.560,26937,1.40,19.64,10.55,93.75
1090,310,43.600,20214,1.05,15.93,9.55,25.05
1091,311,43.640,32292,1.68,21.52,9.15,100.95
1092,312,43.680,26698,1.39,19.85,9.15,158.65
1093,313,43.720,44020,2.29,72.98,11.05,252.55
1094,314,43.760,49802,2.59,63.66,13.65,251.15
1095,315,43.800,46364,2.41,40.15,13.25,243.65
1096,316,43.840,46545,2.42,25.70,16.75,220.75
1097,317,43.880,51809,2.70,20.41,13.25,25.05
1098,318,43.920,46965,2.45,19.45,12.35,23.05
1099,319,43.960,51053,2.66,17.44,10.15,22.65
1100,320,44.000,54889,2.86,16.99,9.55,59.35
1101,321,44.040,55298,2.88,18.42,10.55,116.65
1102,322,44.080,56764,2.96,20.12,11.45,148.45
1103,323,44.120,75459,3.93,17.62,9.55,88.45
1104,324,44.160,64639,3.37,18.60,10.55,127.25
1105,325,44.200,63454,3.30,19.25,11.05,139.45
1106,326,44.240,48252,2.51,22.79,10.55,138.75
1107,327,44.280,41221,2.15,25.68,10.55,145.65
1108,328,44.320,38843,2.02,27.19,11.05,155.15
1109,329,44.360,46620,2.43,22.90,10.55,158.65
1110,330,44.400,40316,2.10,22.31,10.55,129.85
1111,331,44.440,43033,2.24,25.00,10.55,150.65
1112,332,44.480,31385,1.63,36.67,10.55,189.65
1113,333,44.520,32661,1.70,43.23,9.55,190.95
1114,334,44.560,33756,1.76,44.86,8.25,174.35
1115,335,44.600,48245,2.51,38.24,8.25,170.05
1116,336,44.640,48952,2.55,29.74,7.75,158.15
1117,337,44.680,50176,2.61,22.65,7.25,159.35
1118,338,44.720,49129,2.56,19.87,6.85,160.25
1119,339,44.760,65054,3.39,12.76,6.35,126.95
1120,340,44.800,51154,2.66,11.73,6.35,27.35
1121,341,44.840,44242,2.30,11.35,6.35,16.75
1122,342,44.880,49552,2.58,11.47,6.35,69.05
1123,343,44.920,51618,2.69,12.06,5.85,68.85
1124,344,44.960,42663,2.22,12.05,5.25,38.75
1125,345,45.000,67842,3.53,15.79,6.85,138.15
1126,346,45.040,58035,3.02,16.57,7.75,134.85
1127,347,45.080,52740,2.75,18.48,8.65,127.55
1128,348,45.120,49113,2.56,17.92,8.25,103.85
1129,349,45.160,46216,2.41,17.44,8.65,101.95
1130,350,45.200,66435,3.46,16.88,8.25,98.85
1131,351,45.240,43910,2.29,15.53,8.25,84.35
1132,352,45.280,48254,2.51,14.80,7.75,83.35
1133,353,45.320,50256,2.62,15.20,7.25,93.95
1134,354,45.360,75765,3.95,16.14,7.75,90.95
1135,355,45.400,88106,4.59,15.12,7.25,98.15
1136,356,45.440,85228,4.44,14.80,7.25,101.45
1137,357,45.480,60335,3.14,12.63,7.25,99.05
1138,358,45.520,59254,3.09,12.21,7.25,72.05
1139,359,45.560,52996,2.76,12.94,6.85,78.55
1140,360,45.600,51413,2.68,12.79,7.25,72.05
1141,361,45.640,35029,1.82,14.63,7.75,72.05
1142,362,45.680,39152,2.04,15.53,8.25,72.25
1143,363,45.720,32563,1.70,18.10,8.25,72.75
1144,364,45.760,36224,1.89,18.36,8.65,71.25
1145,365,45.800,35335,1.84,17.34,8.65,66.85
1146,366,45.840,41042,2.14,17.36,8.25,75.65
1147,367,45.880,46610,2.43,16.75,8.25,81.75
1148,368,45.920,50652,2.64,15.19,6.85,57.25
1149,369,45.960,50491,2.63,14.29,6.35,47.25
1150,370,46.000,56833,2.96,12.97,3.35,47.85
1151,371,46.040,60072,3.13,12.90,5.25,73.05
1152,372,46.080,52466,2.73,11.41,5.25,29.25
1153,373,46.120,53232,2.77,11.02,5.85,21.75
1154,374,46.160,59620,3.11,11.68,5.25,76.35
1155,375,46.200,52427,2.73,11.07,4.85,74.85
1156,376,46.240,48772,2.54,11.63,5.25,31.55
1157,377,46.280,63623,3.31,14.70,7.25,102.15
1158,378,46.320,54536,2.84,15.78,4.85,104.65
1159,379,46.360,47167,2.46,16.46,6.85,108.65
1160,380,46.400,44660,2.33,15.22,7.75,116.75
1161,381,46.440,53475,2.79,14.92,7.25,120.75
1162,382,46.480,74578,3.88,14.07,5.85,123.95
1163,383,46.520,55684,2.90,16.20,6.35,121.95
1164,384,46.560,57945,3.02,16.86,5.85,110.55
1165,385,46.600,60055,3.13,16.27,5.25,123.35
1166,386,46.640,94384,4.92,13.66,2.85,122.75
1167,387,46.680,101280,5.27,12.35,3.35,66.45
1168,388,46.720,104908,5.46,12.63,5.25,102.35
1169,389,46.760,96948,5.05,13.07,5.85,91.55
1170,390,46.800,100585,5.24,14.22,5.85,108.25
1171,391,46.840,71241,3.71,15.43,5.25,119.55
1172,392,46.880,58781,3.06,16.86,5.25,122.55
1173,393,46.920,62788,3.27,15.71,3.35,123.05
1174,394,46.960,52830,2.75,16.55,3.85,123.35
1175,395,47.000,47920,2.50,16.32,5.25,118.95
1176,396,47.040,43793,2.28,14.40,7.75,108.05
1177,397,47.080,44044,2.29,15.66,8.25,110.75
1178,398,47.120,37894,1.97,16.39,8.65,110.45
1179,399,47.160,40785,2.12,16.04,8.25,115.15
1180,400,47.200,40794,2.12,15.87,7.75,116.95
1181,401,47.240,51079,2.66,18.52,6.35,121.15
1182,402,47.280,44960,2.34,18.76,5.85,120.45
1183,403,47.320,21328,1.11,16.37,3.85,95.35
1184,404,47.360,45697,2.38,9.72,3.85,96.35
1185,405,47.400,23105,1.20,11.23,4.85,15.95
1186,406,47.440,22323,1.16,12.05,4.85,15.95
1187,407,47.480,18551,0.97,12.31,10.55,15.95
1188,408,47.520,19093,0.99,12.28,7.75,15.45
1189,409,47.560,67897,3.54,11.38,6.35,73.65
1190,410,47.600,26312,1.37,12.71,6.85,24.25
1191,411,47.640,73947,3.85,13.10,4.85,57.75
1192,412,47.680,61319,3.19,17.38,6.35,23.35
1193,413,47.720,81790,4.26,20.81,8.25,23.75
1194,414,47.760,78330,4.08,21.55,11.05,24.25
1195,415,47.800,75173,3.92,21.38,17.55,24.25
1196,416,47.840,43107,2.25,20.50,12.75,23.05
